ClientName,OwnerRepo,GitHubOwnerRepo,LibraryOld,LibraryNew,CommitSha,ClientMethod,ExternalCall
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,<com.kakarote.crm9.erp.work.service.WorkService: com.kakarote.crm9.utils.R setOwnerRole(com.alibaba.fastjson.JSONObject)>,"<com.jfinal.plugin.activerecord.Db: int[] batchSave(java.util.List,int)>"
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,<com.kakarote.crm9.erp.work.service.WorkService: com.kakarote.crm9.utils.R setWork(com.kakarote.crm9.erp.work.entity.Work)>,"<com.jfinal.plugin.activerecord.Db: int[] batchSave(java.util.List,int)>"
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,"<com.kakarote.crm9.erp.admin.service.AdminFieldService: boolean save(com.alibaba.fastjson.JSONArray,java.lang.String)>","<com.jfinal.plugin.activerecord.Db: int[] batchSave(java.util.List,int)>"
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,<com.kakarote.crm9.erp.crm.service.CrmLeadsService: com.kakarote.crm9.utils.R translate(java.lang.String)>,"<com.jfinal.plugin.activerecord.Db: int[] batchSave(java.util.List,int)>"
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,<com.kakarote.crm9.erp.crm.service.CrmLeadsService: com.kakarote.crm9.utils.R translate(java.lang.String)>,"<com.jfinal.plugin.activerecord.Db: int[] batchSave(java.util.List,int)>"
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,<com.kakarote.crm9.erp.crm.service.CrmLeadsService: com.kakarote.crm9.utils.R translate(java.lang.String)>,"<com.jfinal.plugin.activerecord.Db: int[] batchSave(java.util.List,int)>"
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,"<com.kakarote.crm9.erp.crm.service.CrmBusinessService: com.kakarote.crm9.utils.R relateContacts(java.lang.Integer,java.lang.String)>","<com.jfinal.plugin.activerecord.Db: int[] batchSave(java.util.List,int)>"
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,"<com.kakarote.crm9.erp.crm.service.CrmContactsService: com.kakarote.crm9.utils.R relateBusiness(java.lang.Integer,java.lang.String)>","<com.jfinal.plugin.activerecord.Db: int[] batchSave(java.util.List,int)>"
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,<com.kakarote.crm9.common.config.JfinalConfig: void configConstant(com.jfinal.config.Constants)>,<com.jfinal.ext.proxy.CglibProxyFactory: void <init>()>
ROOT,72crm/72crm-java,github.com/72crm/72crm-java,jfinal-4.5,jfinal-5.2.4,9b17af536c120f9fe20d71564504e59e57d4e610,<com.kakarote.crm9.common.config.JfinalConfig: void configConstant(com.jfinal.config.Constants)>,<com.jfinal.config.Constants: void setProxyFactory(com.jfinal.proxy.ProxyFactory)>
