ClientName,OwnerRepo,GitHubOwnerRepo,LibraryOld,LibraryNew,CommitSha,ClientMethod,ExternalCall
tushare-1.0.0,0RaymondJiang0/tushare-java,github.com/0RaymondJiang0/tushare-java,commons-csv-1.3,commons-csv-1.13.0,71ae80ffeff69a2c8e1f4b6e00c2f9a3049c8599,"<waditu.tushare.stock.Trading: java.util.List getTickData(java.lang.String,java.util.Date)>","<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.lang.String,org.apache.commons.csv.CSVFormat)>"
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,github.com/0xdecaf/beam-enrichment-patterns,beam-sdks-java-io-google-cloud-platform-2.9.0,beam-sdks-java-io-google-cloud-platform-2.63.0,4ea5efe9a61de48330da82ae56ae5915c5ce97df,<org.chaoslabs.beam.pipelines.JdbcReadAllExample3: void main(java.lang.String[])>,<org.apache.beam.sdk.io.gcp.pubsub.PubsubIO: org.apache.beam.sdk.io.gcp.pubsub.PubsubIO$Read readStrings()>
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,github.com/0xdecaf/beam-enrichment-patterns,beam-sdks-java-io-google-cloud-platform-2.9.0,beam-sdks-java-io-google-cloud-platform-2.63.0,4ea5efe9a61de48330da82ae56ae5915c5ce97df,<org.chaoslabs.beam.pipelines.JdbcReadAllExample3: void main(java.lang.String[])>,<org.apache.beam.sdk.io.gcp.pubsub.PubsubIO: org.apache.beam.sdk.io.gcp.pubsub.PubsubIO$Write writeStrings()>
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,github.com/0xdecaf/beam-enrichment-patterns,beam-sdks-java-io-google-cloud-platform-2.9.0,beam-sdks-java-io-google-cloud-platform-2.63.0,4ea5efe9a61de48330da82ae56ae5915c5ce97df,<org.chaoslabs.beam.pipelines.JdbcReadAllExample1: void main(java.lang.String[])>,<org.apache.beam.sdk.io.gcp.pubsub.PubsubIO: org.apache.beam.sdk.io.gcp.pubsub.PubsubIO$Read readStrings()>
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,github.com/0xdecaf/beam-enrichment-patterns,beam-sdks-java-io-google-cloud-platform-2.9.0,beam-sdks-java-io-google-cloud-platform-2.63.0,4ea5efe9a61de48330da82ae56ae5915c5ce97df,<org.chaoslabs.beam.pipelines.JdbcReadAllExample1: void main(java.lang.String[])>,<org.apache.beam.sdk.io.gcp.pubsub.PubsubIO: org.apache.beam.sdk.io.gcp.pubsub.PubsubIO$Write writeStrings()>
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,github.com/0xdecaf/beam-enrichment-patterns,beam-sdks-java-io-google-cloud-platform-2.9.0,beam-sdks-java-io-google-cloud-platform-2.63.0,4ea5efe9a61de48330da82ae56ae5915c5ce97df,<org.chaoslabs.beam.pipelines.JdbcReadAllExample2: void main(java.lang.String[])>,<org.apache.beam.sdk.io.gcp.pubsub.PubsubIO: org.apache.beam.sdk.io.gcp.pubsub.PubsubIO$Read readStrings()>
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,github.com/0xdecaf/beam-enrichment-patterns,beam-sdks-java-io-google-cloud-platform-2.9.0,beam-sdks-java-io-google-cloud-platform-2.63.0,4ea5efe9a61de48330da82ae56ae5915c5ce97df,<org.chaoslabs.beam.pipelines.JdbcReadAllExample2: void main(java.lang.String[])>,<org.apache.beam.sdk.io.gcp.pubsub.PubsubIO: org.apache.beam.sdk.io.gcp.pubsub.PubsubIO$Write writeStrings()>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,guava-mini-0.1.1,guava-mini-0.1.7,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.SplitterQuadratic: com.github.davidmoten.rtree.geometry.ListPair split(java.util.List,int)>",<com.github.davidmoten.guavamini.Lists: java.util.ArrayList newArrayList(java.lang.Object[])>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,guava-mini-0.1.1,guava-mini-0.1.7,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.SplitterQuadratic: com.github.davidmoten.rtree.geometry.ListPair split(java.util.List,int)>",<com.github.davidmoten.guavamini.Lists: java.util.ArrayList newArrayList(java.lang.Object[])>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,guava-mini-0.1.1,guava-mini-0.1.7,7c6f20019d46ec21ea5df97597f1dea592a115e4,<com.github.davidmoten.rtree.RTree: com.github.davidmoten.rtree.RTree add(com.github.davidmoten.rtree.Entry)>,<com.github.davidmoten.guavamini.Lists: java.util.ArrayList newArrayList(java.lang.Object[])>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,<com.github.davidmoten.rtree.Serializers$SerializerTypedBuilder$1: com.esotericsoftware.kryo.Kryo call()>,<com.esotericsoftware.kryo.Kryo: void <init>()>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void write(com.github.davidmoten.rtree.RTree,java.io.OutputStream)>",<com.esotericsoftware.kryo.io.Output: void <init>(java.io.OutputStream)>
tushare-1.0.0,0RaymondJiang0/tushare-java,github.com/0RaymondJiang0/tushare-java,httpcore-4.4.4,httpcore-4.4.16,71ae80ffeff69a2c8e1f4b6e00c2f9a3049c8599,"<waditu.tushare.common.HTTParty: java.lang.String get(java.lang.String,java.lang.String)>","<org.apache.http.util.EntityUtils: java.lang.String toString(org.apache.http.HttpEntity,java.lang.String)>"
